Enter 10 numbers: 
31
17491
107
1097
64037
100003
1549
2161
739
97

Input           Algo 1          Algo 2          Algo 3

31              29              14              4
17491           17489           8744            131
107             105             52              9
1097            1095            547             32
64037           64035           32017           252
100003          100001          50000           315
1549            1547            773             38
2161            2159            1079            45
739             737             368             26
97              95              47              8
